"PASSENGERS","DISTANCE","UNIQUE_CARRIER_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","DEST","DEST_CITY_NAME","DEST_STATE_NM",
1.00,1020.00,"Southwest Airlines Co.","CHS","Charleston, SC","South Carolina","OKC","Oklahoma City, OK","Oklahoma",
1.00,1300.00,"Southwest Airlines Co.","CLE","Cleveland, OH","Ohio","MAF","Midland/Odessa, TX","Texas",
1.00,2097.00,"Southwest Airlines Co.","CLE","Cleveland, OH","Ohio","SMF","Sacramento, CA","California",
1.00,629.00,"Southwest Airlines Co.","CMH","Columbus, OH","Ohio","LIT","Little Rock, AR","Arkansas",
1.00,330.00,"Southwest Airlines Co.","CMH","Columbus, OH","Ohio","MKE","Milwaukee, WI","Wisconsin",
1.00,1182.00,"Southwest Airlines Co.","CRP","Corpus Christi, TX","Texas","LAS","Las Vegas, NV","Nevada",
1.00,1844.00,"Southwest Airlines Co.","CRP","Corpus Christi, TX","Texas","PDX","Portland, OR","Oregon",
1.00,1565.00,"Southwest Airlines Co.","CRP","Corpus Christi, TX","Texas","SJC","San Jose, CA","California",
1.00,373.00,"Southwest Airlines Co.","CVG","Cincinnati, OH","Kentucky","ATL","Atlanta, GA","Georgia",
1.00,229.00,"Southwest Airlines Co.","CVG","Cincinnati, OH","Kentucky","DTW","Detroit, MI","Michigan",
1.00,757.00,"Southwest Airlines Co.","CVG","Cincinnati, OH","Kentucky","MCO","Orlando, FL","Florida",
1.00,318.00,"Southwest Airlines Co.","CVG","Cincinnati, OH","Kentucky","MKE","Milwaukee, WI","Wisconsin",
1.00,879.00,"Southwest Airlines Co.","CVG","Cincinnati, OH","Kentucky","RSW","Fort Myers, FL","Florida",
1.00,359.00,"Southwest Airlines Co.","DEN","Denver, CO","Colorado","AMA","Amarillo, TX","Texas",
1.00,1165.00,"Southwest Airlines Co.","DSM","Des Moines, IA","Iowa","BOS","Boston, MA","Massachusetts",
1.00,870.00,"Southwest Airlines Co.","DSM","Des Moines, IA","Iowa","SAT","San Antonio, TX","Texas",
